rank,country_code,player,points,tournaments,confederation,country
107,THA,Khosit Phetpradab,15269,5,Asia,Thailand
108,HKG,Chan Yin Chak,15183,11,Asia,Hong Kong China
109,IND,Rahul Yadav Chittaboina,15060,11,Asia,India
110,EGY,Adham Hatem Elgamal,15029,12,Africa,Egypt
111,GER,Fabian Roth,15000,15,Europe,Germany
112,SUI,Tobias Kuenzi,14877,14,Europe,Switzerland
113,IND,Sourabh Verma,14630,6,Asia,India
114,USA,Howard Shu,14338,11,Pan America,U.S.A.
115,BUL,Daniel Nikolov,14093,13,Europe,Bulgaria
116,GER,Samuel Hsiao,14085,18,Europe,Germany
117,JPN,Takuma Obayashi,14000,5,Asia,Japan
118,MAS,Kok Jing Hong,13978,13,Asia,Malaysia
119,BRA,Donnians Oliveira,13672,7,Pan America,Brazil
120,CHN,Lei Lan Xi,13650,6,Asia,China
121,ALG,Youcef Sabri Medel,13491,11,Africa,Algeria
122,IND,Ansal Yadav,13410,11,Asia,India
123,MAS,Ong Ken Yon,13160,11,Asia,Malaysia
124,JOR,Bahaedeen Ahmad Alshannik,13080,8,Asia,Jordan
125,MAS,Lee Shun Yang,12990,11,Asia,Malaysia
126,THA,Adulrach Namkul,12892,7,Asia,Thailand
127,NGR,Anuoluwapo Juwon Opeyori,12850,8,Africa,Nigeria
128,INA,Syabda Perkasa Belawa,12680,9,Asia,Indonesia
129,JPN,Koo Takahashi,12675,9,Asia,Japan
130,KAZ,Dmitriy Panarin,12560,14,Asia,Kazakhstan
131,SGP,Jia Wei Joel Koh,11892,14,Asia,Singapore
132,IND,Kaushal Dharmamer,11870,8,Asia,India
133,INA,Alwi Farhan,11860,10,Asia,Indonesia
134,ITA,Christopher Vittoriani,11850,10,Europe,Italy
135,USA,Justin Ma,11620,12,Pan America,U.S.A.
136,IND,Alap Mishra,11390,13,Asia,India
137,IND,Abhishek Yeligar,11390,10,Asia,India
138,KOR,Kim Donghun,11360,5,Asia,Korea
139,IND,Siril Verma,11250,13,Asia,India
140,FRA,Enogat Roy,11160,17,Europe,France
141,USA,Enrico Asuncion,11039,12,Pan America,U.S.A.
142,TPE,Lin Kuan-Ting,10950,11,Asia,Chinese Taipei
143,IND,Raghu Mariswamy,10630,10,Asia,India
144,CAN,B. R. Sankeerth,10512,7,Pan America,Canada
145,IND,Tharun Mannepalli,10490,12,Asia,India
146,FIN,Joakim Oldorff,10476,16,Europe,Finland
147,DEN,Ditlev Jaeger Holm,10450,8,Europe,Denmark
148,MEX,Luis Armando Montoya Navarro,10444,10,Pan America,Mexico
149,JPN,Koshiro Moriguchi,10432,10,Asia,Japan
150,IND,Aryamann Tandon,10310,8,Asia,India
151,IND,Kiran Kumar Mekala,10230,12,Asia,India
152,RUS,Sergey Sirant,10190,3,Europe,Russia
153,SLO,Miha Ivanič,10080,15,Europe,Slovenia
154,MAS,Lim Chong King,9780,9,Asia,Malaysia
155,VIE,Tien Minh Nguyen,9660,5,Asia,Vietnam
156,SRI,Viren Nettasinghe,9640,9,Asia,Sri Lanka
157,BEL,Elias Bracke,9490,17,Europe,Belgium
158,IND,Siddharth Pratap Singh,9440,9,Asia,India
159,ENG,Rohan Midha,9430,18,Europe,England
160,AUS,Nathan Tang,9300,5,Oceania,Australia
161,IND,Siddhanth Gupta,9210,11,Asia,India
162,INA,Andi Fadel Muhammad,9140,7,Asia,Indonesia
163,CAN,Victor Lai,8987,10,Pan America,Canada
164,SRI,Niluka Karunaratne,8930,6,Asia,Sri Lanka
165,TPE,Liao Jhuo-Fu,8909,9,Asia,Chinese Taipei
166,INA,Bobby Setiabudi,8700,8,Asia,Indonesia
167,THA,Panitchaphon Teeraratsakul,8645,10,Asia,Thailand
168,UGA,Brian Kasirye,8503,8,Africa,Uganda
169,NED,Aram Mahmoud,8430,8,Europe,Netherlands
170,FRA,Valentin Singer,8400,16,Europe,France
171,THA,Korakrit Laotrakul,8350,13,Asia,Thailand
172,MAS,Justin Hoh,8320,4,Asia,Malaysia
173,DEN,Jeppe Bruun,8250,13,Europe,Denmark
174,MLT,Matthew Abela,8240,13,Europe,Malta
175,ALG,Adel Hamek,8234,12,Africa,Algeria
176,PER,Adriano Viale Aguirre,8147,10,Pan America,Peru
177,IND,Anirudh Janardhanan,8100,13,Asia,India
178,DEN,Karan Rajan Rajarajan,8060,11,Europe,Denmark
179,CAN,Xiaodong Sheng,8030,8,Pan America,Canada
180,VIE,Nguyen Hai Dang,7990,7,Asia,Vietnam
181,AUT,Wolfgang Gnedt,7979,14,Europe,Austria
182,HUN,Gergo Pytel,7962,10,Europe,Hungary
183,KOR,Lee Dong Keun,7810,5,Asia,Korea
184,GUA,Ruben Castellanos,7738,6,Pan America,Guatemala
185,MEX,Armando Gaitan Fausto,7661,7,Pan America,Mexico
186,MAS,Ong Zhen Yi,7580,6,Asia,Malaysia
187,INA,Iqbal Diaz Syahputra,7570,5,Asia,Indonesia
188,IND,Rithvik Sanjeevi Satish Kumar,7490,9,Asia,India
189,ENG,Johnnie Torjussen,7411,10,Europe,England
190,IRL,Jonathan Dolan,7410,9,Europe,Ireland
191,SUI,Julien Scheiwiller,7400,12,Europe,Switzerland
192,GER,Matthias Kicklitz,7378,14,Europe,Germany
193,ZAM,Kalombo Mulenga,7280,9,Africa,Zambia
194,FRA,Grégoire Deschamp,7260,13,Europe,France
195,CZE,Jiří Král,7240,13,Europe,Czech Republic
196,TPE,Liu Wei Chi,7200,6,Asia,Chinese Taipei
197,ESP,Carlos Piris,7150,10,Europe,Spain
198,MAS,Shahyar Shaqeem,7090,9,Asia,Malaysia
199,AUT,Collins Valentine Filimon,7070,9,Europe,Austria
200,IND,Abhyansh Singh,7000,9,Asia,India
201,SUI,Joel König,6980,16,Europe,Switzerland
202,TPE,Yang Chih Chieh,6930,6,Asia,Chinese Taipei
203,ALG,Koceila Mammeri,6903,8,Africa,Algeria
204,MRI,Georges Julien Paul,6860,6,Africa,Mauritius
205,GER,Kian-Yu Oei,6770,17,Europe,Germany
206,NZL,Edward Lau,6760,4,Oceania,New Zealand
207,IND,Farogh Sanjay Aman,6710,15,Asia,India
208,RSA,Robert Summers,6682,7,Africa,South Africa
209,USA,Mark Shelley Alcala,6570,9,Pan America,U.S.A.
210,JPN,Riki Takei,6520,3,Asia,Japan
211,INA,Yohanes Saut Marcellyno,6510,6,Asia,Indonesia
212,USA,Don Henley Averia,6496,6,Pan America,U.S.A.
